AUROC,AUPRC,Brier,ECE@10,Precision@10,Precision@20,Precision@50,model,split
0.5,0.5209654519640322,0.5209654519640322,0.5209654519640322,1.0,1.0,1.0,B1_rule_presence,val
0.5,0.49336247662752697,0.49336247662752697,0.49336247662752697,1.0,1.0,1.0,B1_rule_presence,test
0.25578376166779104,0.40086783352432254,0.43873043583457755,0.3973252609942722,0.7,0.55,0.68,B0_ppmi,val
0.3380154333421041,0.4268024349218164,0.4383211709387564,0.3115911058091357,0.8,0.65,0.72,B0_ppmi,test
0.7423144826184681,0.7480414424890574,0.39445671094871626,0.39542873538188766,1.0,1.0,0.96,B2_logreg,val
0.6604483923364137,0.6778714591356361,0.3811596720819597,0.3741365257542199,1.0,1.0,1.0,B2_logreg,test
0.5368305994627176,0.5747879582290506,0.4464353824688595,0.4438881965262445,0.9,0.95,0.96,B2_xgboost,val
0.5210940860179116,0.5344513252033545,0.4232042560657631,0.41639985150555275,0.8,0.85,0.94,B2_xgboost,test
0.5189824440360487,0.5768435112043098,0.24986859907101422,0.020820288304407,0.800000011920929,0.8999999761581421,0.699999988079071,B3_distmult,val
0.4895463981748311,0.5012099715889697,0.25063535548889193,0.01667331313684219,0.8,0.8,0.76,B3_distmult,test
0.7543631884100815,0.7389089781902469,0.24202284165372046,0.18705181164038487,0.8999999761581421,0.949999988079071,0.9399999976158142,B3_rotate,val
0.7001458526770412,0.6809813734692372,0.2680725162069908,0.21763864237999425,0.9,0.95,0.94,B3_rotate,test
