AUROC,AUPRC,Brier,ECE@10,Precision@10,Precision@20,Precision@50,model,split
0.5,0.4984158324915052,0.4984158324915052,0.4984158324915052,0.7,0.6,0.5,B1_rule_presence,val
0.5,0.5001790814499169,0.5001790814499169,0.5001790814499169,0.6,0.55,0.52,B1_rule_presence,test
0.1291213332944165,0.32375331502584265,0.4108028843058017,0.43497767304542917,0.0,0.05,0.02,B0_ppmi,val
0.12879504245862766,0.3251260544603014,0.4104984436078995,0.4328456409344624,0.0,0.0,0.0,B0_ppmi,test
0.9572032558735782,0.9545306039039938,0.08112564831365802,0.07216980291489256,1.0,0.9,0.96,B2_logreg,val
0.9585371731600587,0.9566327993857565,0.08097789114367922,0.07404487338472755,1.0,1.0,1.0,B2_logreg,test
0.9716933427042097,0.9694716879112271,0.06210111604436979,0.015167227702669673,1.0,1.0,1.0,B2_xgboost,val
0.9728072584565053,0.9705920201313514,0.06107258071333062,0.016937264545098387,1.0,1.0,1.0,B2_xgboost,test
0.9737786082656259,0.9715398543493667,0.13546661105490176,0.20234773504686415,1.0,1.0,1.0,B3_distmult,val
0.9512499138048296,0.9535944997640453,0.1677410602041848,0.21267706135208836,1.0,1.0,1.0,B3_distmult,test
0.92524272174442,0.8788076647752154,0.1785470268861524,0.21278548013480153,0.800000011920929,0.800000011920929,0.7799999713897705,B3_rotate,val
0.9211873850281249,0.8788829114210521,0.18209448349405163,0.217707602873979,0.9,0.9,0.84,B3_rotate,test
