epoch,loss,val_AUPRC,val_AUROC
1,0.6061780436863917,0.7135221424544104,0.7409239268447919
2,0.5635570568730169,0.7052316231570548,0.7285105250299695
3,0.5529403645729384,0.7035916150172448,0.724619265085574
4,0.5397112793908826,0.7031610537194786,0.7230955961826251
5,0.5275682540674174,0.7051644397629555,0.7225488579915943
6,0.5174619884658676,0.7052905917353693,0.7219834608915765
7,0.5087214379709483,0.706238871820988,0.7218434002304617
8,0.5010764427738045,0.7060029711817524,0.7216122252636217
9,0.4944009914031047,0.7069176781016905,0.7219240214842491
10,0.4884112905073528,0.7066288346211308,0.7221319941127865
11,0.4831492610190758,0.707211012380893,0.7225442681552223
