AUROC,AUPRC,Brier,ECE@10,Precision@10,Precision@20,Precision@50,model,split
0.5,0.5045488914363765,0.5045488914363765,0.5045488914363765,1.0,1.0,1.0,B1_rule_presence,val
0.5,0.4957416020671835,0.4957416020671835,0.4957416020671835,1.0,1.0,1.0,B1_rule_presence,test
0.25867996334499377,0.3838149442681531,0.43112038456276597,0.3854317282912009,0.6,0.6,0.62,B0_ppmi,val
0.3317183047244937,0.4241562313288083,0.4411234798502301,0.31096922375852004,0.4,0.4,0.4,B0_ppmi,test
0.7398166131279165,0.7278113489586013,0.378298954291006,0.37309923535955064,1.0,1.0,1.0,B2_logreg,val
0.6671059358259596,0.6862192055391727,0.37751809916557283,0.3696219994803626,0.8,0.9,0.94,B2_logreg,test
0.6078873839508854,0.6032808191259837,0.42996480690472655,0.42439204617728987,0.8,0.85,0.82,B2_xgboost,val
0.5775810032932627,0.5809997180953902,0.42266535376742853,0.41568568500617736,0.9,0.9,0.9,B2_xgboost,test
0.48175583295885216,0.5314831331643965,0.2504829241294115,0.013472349846179017,0.800000011920929,0.800000011920929,0.7599999904632568,B3_distmult,val
0.4997518798717906,0.5168173049804292,0.25038222789972653,0.010319815191803677,1.0,0.95,0.88,B3_distmult,test
0.7409239268447919,0.7135221424544104,0.24049802801435702,0.17266344971730935,1.0,0.8500000238418579,0.8399999737739563,B3_rotate,val
0.6978872239970408,0.6849625619893959,0.27017037761923,0.2206498111279282,0.9,0.85,0.88,B3_rotate,test
0.7655229869524443,0.748185226286416,0.24800347775680348,0.19905907993153943,1.0,1.0,1.0,MHD_v2,val
0.7325713247305149,0.7206280663720204,0.2516237852381156,0.18743692977483878,1.0,1.0,1.0,MHD_v2,test
