epoch,loss,val_AUPRC,val_AUROC
1,0.5871828306650481,0.5314831331643965,0.48175583295885216
2,0.42443851197400473,0.5267211164661054,0.4789777822123885
3,0.4022757471627609,0.5240997430166332,0.478335259559355
4,0.3805800913744553,0.5218834509861532,0.4784056647161376
5,0.358124025760948,0.5199707414958782,0.47891976535983016
6,0.3346991200184187,0.518303774815941,0.47967597518681804
7,0.3107511080489866,0.5167398811126558,0.48044131292483305
8,0.2858159578061829,0.5153343304699408,0.4812429228346464
9,0.2600669548652018,0.514068044166015,0.4820201342345289
10,0.2338737409434391,0.5129036101715877,0.48275966994663655
11,0.20806542885960735,0.5119025221299842,0.4834918525201452
