epoch,loss,val_AUPRC,val_AUROC
1,0.5650907062363687,0.9504725847322961,0.9566037290443745
2,0.41985104880818497,0.9604880136845272,0.9655107743969018
3,0.3936521186451999,0.9669329501605525,0.9709842711316325
4,0.36735890591735937,0.9703509942491385,0.9735058422868635
5,0.34026444265643235,0.9715527080989907,0.9739879987692329
6,0.3119802469139622,0.9715810976810251,0.9734176669335162
7,0.2820229964335656,0.970859615183829,0.9721041990096566
8,0.25071921493303684,0.969529405283433,0.9702845980845651
9,0.21905723097430196,0.967794729263462,0.9680489139455043
10,0.1881985894499186,0.9656447584043383,0.965477270735579
11,0.15930956022390808,0.9631495309196831,0.9625915069804121
12,0.13312620827174373,0.960557165221196,0.9596370891839401
13,0.10995848349468204,0.9579444759670225,0.9568327989956189
14,0.08983661765451531,0.9554221312326113,0.9540953316384163
15,0.0726955764277719,0.9530224074770818,0.9514811868518316
16,0.058234505272681966,0.9508348875214782,0.9491379683999245
