AUROC,AUPRC,Brier,ECE@10,Precision@10,Precision@20,Precision@50,model,split,
0.82,0.82,0.24,0.07,0.9,0.9,0.9,MHD_v3,val,
0.81,0.8,0.24,0.03,0.7,0.85,0.94,MHD_v3,test,
