epoch,loss,val_AUPRC,val_AUROC
1,0.5654820199112357,0.9529371012583836,0.9581452453635366
2,0.42212243004660693,0.9609158126801096,0.9658916102410577
3,0.3969014423167425,0.9671530340422143,0.9713569608841887
4,0.36997666289694314,0.9704712217755176,0.9739110046566652
5,0.34209871572240524,0.9717452091037798,0.9744651634379972
6,0.3130930909989086,0.9719503608820675,0.9740693658581113
7,0.28252704021357994,0.9713797726430847,0.9729544772343708
8,0.25070124216786255,0.9701415217877281,0.971239562072947
9,0.21861817397896988,0.9684710063591417,0.9690684225582046
10,0.18763172725706748,0.9663058826174212,0.9664237881747311
11,0.1587292445001652,0.963888170459785,0.9635625776062292
12,0.13261768997065704,0.9612011161083779,0.9604568525100704
13,0.10950156906254921,0.958531021549598,0.957397632983828
14,0.08949465263761366,0.9559524163838932,0.9545166860388745
15,0.07239917395806655,0.9534249793060029,0.9516824396977374
16,0.058020982049969715,0.9513393987185271,0.949402005293861
