epoch,loss,val_AUPRC,val_AUROC
1,0.5986802644113336,0.8021814152636871,0.8428674024836773
2,0.561053760758268,0.8021592136147483,0.845937573426969
3,0.5499316107666523,0.8165316483183633,0.8628951163580997
4,0.535464515885236,0.8359436442656938,0.8815655766709752
5,0.5231227752589681,0.8484396314919574,0.8939335913534137
6,0.5130094549285525,0.8557038220246858,0.9023711236914841
7,0.5045800172862434,0.8619903834928621,0.908989155257006
8,0.49731589036728635,0.8664127853063109,0.9150153864984796
9,0.49072867947054283,0.8692434813940398,0.9184158542041095
10,0.4848907709744207,0.872248374429933,0.9214930674525503
11,0.4797907784075401,0.8745718539574003,0.9234015637750639
12,0.47530587577788697,0.8764386763646249,0.9246669236883143
13,0.4712372586403441,0.8782432410234746,0.9255775538356134
14,0.4677600220974058,0.8778669170228164,0.9259783495545276
15,0.4646996531256185,0.8764379100583041,0.9258381844888409
16,0.46194823031792753,0.8759486893154043,0.9259529276763294
17,0.45945780411090303,0.8764467957977741,0.9259813572935383
18,0.45724060053769355,0.8778149199727258,0.9257444838778158
19,0.45537733510331135,0.8766506362223272,0.9253620034234754
20,0.4535184500267238,0.8742408292059529,0.9244530442422932
21,0.4519696110767111,0.8780831137222075,0.9248745082834303
22,0.4505373338728598,0.8743743980773175,0.9237262340729441
23,0.4492367099066005,0.8760141965570385,0.923702763587984
