epoch,train_loss,val_AUPRC,val_AUROC
1,0.12436455569215228,0.652791727959177,0.6326724875795613
2,0.23341680470752385,0.6589628040593651,0.650059932675012
3,0.18920415631668666,0.6980395823443277,0.7116686820114552
4,0.18974485716711284,0.64218956630242,0.6257877388612205
5,0.19089155802406893,0.6028767104982617,0.6439504034693986
6,0.1753653877186418,0.6493325464591706,0.7257657632790884
7,0.17520546555981287,0.6171342575616036,0.5745981753456335
8,0.1751340131559745,0.6904822713671623,0.7697776168325898
9,0.17503208353136918,0.7137883925436432,0.7868863345539318
10,0.17498370102909339,0.7279010845036954,0.7954743156501078
11,0.17494499237480673,0.7412099416381822,0.8032930159978071
12,0.17491520259336907,0.7523705301391994,0.8040661103660798
13,0.1748785995434457,0.7567487443014584,0.7960371695964699
14,0.17485332985860316,0.7568582136171881,0.7959633779827394
15,0.1746066240358322,0.7413398706457035,0.7853476624427108
16,0.17532725529136403,0.6303501612825384,0.6851703011470853
17,0.16792822880703748,0.7493688599561357,0.7915930909222524
18,0.21119509094569694,0.705106417847118,0.7179416055321335
19,0.1877724479558184,0.6319928724485524,0.643597074810847
20,0.17783183863887925,0.6827301615552731,0.7119622448810548
21,0.17551849563420732,0.728100599857372,0.770347519544512
22,0.17527031915161212,0.7526989003319392,0.7733551423723951
23,0.17489552436276556,0.7602096120033941,0.7861894363734901
24,0.17477198662192975,0.7602954874920456,0.7874839094827503
25,0.17454739961859983,0.7595004457992749,0.7880417073281283
26,0.17467218399192394,0.7667359285186874,0.7909911859593555
27,0.1721294718811352,0.7568012815733635,0.796257163045533
28,0.17655186554597666,0.7613331449160275,0.7916800829339472
29,0.16714061936212316,0.7451687865647408,0.7922950689986076
30,0.17918822911339474,0.718011888864814,0.7730849744203221
31,0.17217262980962156,0.7543082921286051,0.7866904183580788
