epoch,loss,sup_loss,cf_loss,val_AUPRC,val_AUROC,gate
1,0.2564997033606973,0.22874757737699544,0.05408807655267907,0.7138129698305211,0.7304800246851492,0.48178961749803634
2,0.19339255891249,0.17809791768150682,0.030574233795262314,0.7331030471973362,0.740334073771104,0.4992222985545322
3,0.1916414318641078,0.18055276724869507,0.022168968828088605,0.7209828356021991,0.7353138311954606,0.49909420424590056
4,0.19565850576186866,0.17644657443198813,0.03840759148915045,0.7162434525782708,0.7319002480372581,0.49856096909629427
5,0.18118009434094634,0.1755029002091073,0.011346820004104955,0.7493585501014897,0.7555910067998995,0.4986975924823646
6,0.1723817689205292,0.15593358542276745,0.032887132128192074,0.726556769619805,0.7364836429657812,0.5003386002691256
7,0.18153305946787857,0.17426363709584644,0.014529869046653094,0.7631255697447465,0.7630955963796845,0.49950209705139503
8,0.1655939899623197,0.15387579769055457,0.023424668964745144,0.7656034970507963,0.7590847437658108,0.5003982218217276
9,0.16847831178391426,0.15803384589424496,0.02085280137400589,0.7749321246911707,0.7731061151866474,0.5002378496199282
10,0.162056133382408,0.14137861220369755,0.04130973693260625,0.7687338678643596,0.7603078625102276,0.4989839591704538
11,0.16772683451216713,0.1538043274021327,0.02781895804089218,0.7808998468031623,0.7792951289511721,0.49968154958627214
12,0.1565710620190994,0.14231953544157747,0.028471691683610648,0.7773843528599178,0.7767117935315108,0.500299125027049
13,0.15238321754688153,0.1350088492432855,0.034716805364056025,0.7696754311797409,0.7666745839641911,0.5001828965499776
14,0.1486191174088498,0.12901350215220395,0.0391465737550159,0.7618347209601632,0.7541242699879369,0.5003244175775498
15,0.14555155873075193,0.12310132300357421,0.04479948560166007,0.7519012503546618,0.735559116091875,0.4999819460790194
16,0.14067344717535707,0.1164063324812441,0.04838422369613159,0.7420006643397172,0.7183203662562998,0.4983699990421617
