epoch,train_loss,val_AUPRC,val_AUROC
1,0.1111396879931305,0.6833780460252756,0.6022928502572009
2,0.24083358138434857,0.7203828725847785,0.6660450208827375
3,0.18867903788260046,0.7726366527218229,0.7373268263572417
4,0.19084083611099575,0.8188303217338053,0.8203919414697651
5,0.17952085623031128,0.8138170829747041,0.8131333981609115
6,0.1789099758168688,0.7834881260398134,0.7972713087504429
7,0.17265119026129064,0.7776529235776024,0.7897394617721248
8,0.1772094180689308,0.7835324009340734,0.802260666153635
9,0.16679422165095026,0.781913604741304,0.7912551824597729
10,0.18076683416012293,0.7707715731844343,0.7882221307533899
11,0.16971086999093007,0.7791468877524883,0.7909882852114838
