AUROC,AUPRC,Brier,ECE@10,Precision@10,Precision@20,Precision@50,model,split
0.5,0.5209654519640322,0.5209654519640322,0.5209654519640322,1.0,1.0,1.0,B1_rule_presence,val
0.5,0.49336247662752697,0.49336247662752697,0.49336247662752697,1.0,1.0,1.0,B1_rule_presence,test
0.25578376166779104,0.40086783352432254,0.43873043583457755,0.3973252609942722,0.7,0.55,0.68,B0_ppmi,val
0.3380154333421041,0.4268024349218164,0.4383211709387564,0.3115911058091357,0.8,0.65,0.72,B0_ppmi,test
0.7423144826184681,0.7480414424890574,0.39445671094871626,0.39542873538188766,1.0,1.0,0.96,B2_logreg,val
0.6604483923364137,0.6778714591356361,0.3811596720819597,0.3741365257542199,1.0,1.0,1.0,B2_logreg,test
0.5368305994627176,0.5747879582290506,0.4464353824688595,0.4438881965262445,0.9,0.95,0.96,B2_xgboost,val
0.5210940860179116,0.5344513252033545,0.4232042560657631,0.41639985150555275,0.8,0.85,0.94,B2_xgboost,test
0.4745601913603529,0.5598134725103935,0.25023885583618094,0.02260349254528042,0.8999999761581421,0.8999999761581421,0.8199999928474426,B3_distmult,val
0.48735109460389076,0.503322166126437,0.25061168976825454,0.019853844052961644,0.6,0.7,0.72,B3_distmult,test
0.7544471901042205,0.7388159416495503,0.24188029223247387,0.18674208157626632,1.0,1.0,0.9200000166893005,B3_rotate,val
0.6995546748418292,0.680926264415605,0.2682049842093067,0.21767237711429827,0.8,0.8,0.84,B3_rotate,test
0.7739857969239665,0.7687985578286165,0.2537659705769384,0.21145756367366572,1.0,0.95,0.98,MHD_v2,val
0.735109923293038,0.7199201869996317,0.2534655896599192,0.18901971248044763,0.9,0.95,0.98,MHD_v2,test
