epoch,loss,val_AUPRC,val_AUROC
1,0.6034675411794378,0.7362722997275953,0.7526385787759695
2,0.5605559369613384,0.7312508077856099,0.7442357123408337
3,0.550840890156355,0.7300808882441017,0.7416225195286615
4,0.5382059159977682,0.7297421928723451,0.7394761150315696
5,0.5258780647625868,0.727747524339317,0.7384168147545078
6,0.5158510507294958,0.7302885559753689,0.7384582342700059
7,0.5074391850338128,0.7321572848649212,0.738262954136046
8,0.5000489587071298,0.7311239452680097,0.738213440504301
9,0.49335706331035645,0.7329621372851745,0.7386205011838012
10,0.4872787618774107,0.7321011831217702,0.7388671404125182
11,0.48186702974911394,0.7328029914634235,0.7394388851397344
