AUROC,AUPRC,Brier,ECE@10,Precision@10,Precision@20,Precision@50,model,split
0.5,0.5202912644386992,0.5202912644386992,0.5202912644386992,1.0,1.0,1.0,B1_rule_presence,val
0.5,0.49381846797407275,0.49381846797407275,0.49381846797407275,1.0,1.0,1.0,B1_rule_presence,test
0.2568732401890115,0.4006261335346124,0.4381557863010797,0.39646785952516506,0.3,0.55,0.52,B0_ppmi,val
0.3375551315859495,0.4269860522637132,0.4387986237685287,0.31248617386778954,1.0,0.7,0.7,B0_ppmi,test
0.7408524585286426,0.7452864179647894,0.3942041266609735,0.3948912649395531,1.0,0.95,0.98,B2_logreg,val
0.660839136905849,0.6787495071831245,0.381569484364138,0.3746695419880396,0.9,0.95,0.98,B2_logreg,test
0.5548306732744949,0.5864322980634366,0.44827656790625603,0.4459681454872299,1.0,0.95,0.98,B2_xgboost,val
0.5372644134653126,0.5497598102171474,0.42586799989369295,0.4196207867422715,0.9,0.95,0.9,B2_xgboost,test
0.4826733349021177,0.5532471573154312,0.250425879630274,0.02061743929214172,0.699999988079071,0.8500000238418579,0.8399999737739563,B3_distmult,val
0.5068533747502851,0.5193103498655255,0.2500290529588147,0.008198783458292598,0.9,0.9,0.88,B3_distmult,test
0.7526385787759695,0.7362722997275953,0.24211864892372112,0.1854303506797893,0.800000011920929,0.8999999761581421,0.8199999928474426,B3_rotate,val
0.7006642539305029,0.6808738502132327,0.2677760581342738,0.21746865799231072,0.7,0.75,0.86,B3_rotate,test
0.7672077660013759,0.7611157004511919,0.2707261178993252,0.24162050511796943,0.9,0.95,0.94,MHD_v2,val
0.7300827909636137,0.7143492210374469,0.2671290409422523,0.2164259470536984,1.0,0.95,0.98,MHD_v2,test
