epoch,loss,val_AUPRC,val_AUROC
1,0.5909992198948659,0.5532471573154312,0.4826733349021177
2,0.4263195662091975,0.5508769790226276,0.48311906493460244
3,0.40299068699622975,0.5496582699514341,0.48442897429898324
4,0.3812693140515879,0.5480445803804113,0.4854885349131173
5,0.35899689548088676,0.5462668415359804,0.4864078792198273
6,0.33601833428916345,0.5442956910812333,0.4871341593569427
7,0.31201424155655494,0.5422580210198018,0.48766848739202207
8,0.28688974698498787,0.540203329132457,0.4880332810517888
9,0.2608322584252248,0.5381966678958501,0.4883599426559701
10,0.23441348421847683,0.536355827295848,0.4886326119291631
11,0.20837382044486158,0.5347346122088453,0.48894052503788976
