epoch,loss,val_AUPRC,val_AUROC
1,0.5571504163584022,0.5604652291639488,0.4811505665429985
2,0.3911376117982648,0.5557040323506715,0.48353235592599525
3,0.36824427861155884,0.5530991810956147,0.48691614496944985
4,0.3490930395483067,0.5503844955675992,0.49000192922766284
5,0.32666950892995705,0.5469722350477801,0.49222762368022377
6,0.29973240763964976,0.542865263583344,0.49371894605222577
7,0.2683853413627455,0.5385711158487592,0.4948270940867008
8,0.2339504650709304,0.5343188968758634,0.495551486265835
9,0.19861833945932714,0.5305513805812043,0.49607735365680194
10,0.1647379141244473,0.5272673759527429,0.49639037864266417
11,0.13396442170734657,0.5245787337606258,0.4966551301909483
