AUROC,AUPRC,Brier,ECE@10,Precision@10,Precision@20,Precision@50,model,split
0.5,0.5003533145697348,0.5003533145697348,0.5003533145697348,1.0,1.0,1.0,B1_rule_presence,val
0.5,0.5035930095529424,0.5035930095529424,0.5035930095529424,1.0,1.0,1.0,B1_rule_presence,test
0.17032826745423882,0.35758160598802324,0.4909438319193251,0.4855296342581038,0.6,0.5,0.52,B0_ppmi,val
0.2729192545112697,0.4187370730473988,0.4901847112507694,0.4074415032913611,0.7,0.65,0.44,B0_ppmi,test
0.8313511209918609,0.8223971171102282,0.3817698414115761,0.39578691571208524,1.0,1.0,1.0,B2_logreg,val
0.7291785560280767,0.7729136547660058,0.39327104243510874,0.4056003805440796,1.0,1.0,1.0,B2_logreg,test
0.7664134154579471,0.7226375869578165,0.4447706281650595,0.44285893179899644,1.0,1.0,1.0,B2_xgboost,val
0.6829679498683741,0.68808247978724,0.448504384902714,0.4468180893543282,1.0,1.0,1.0,B2_xgboost,test
0.4811505665429985,0.5604652291639488,0.2501658886514025,0.014436201421334591,0.4000000059604645,0.5,0.6600000262260437,B3_distmult,val
0.5097754799684895,0.5399814178934523,0.24990805940746083,0.0033439803236457425,1.0,0.95,0.96,B3_distmult,test
0.8594526147515585,0.8216519264450829,0.21325391518508846,0.2391973020656679,1.0,1.0,1.0,B3_rotate,val
0.8109094298172937,0.7857376672470692,0.23869707824870637,0.23555306150535626,1.0,0.95,0.98,B3_rotate,test
0.8710639169231637,0.840336676090077,0.20531572693962544,0.2285104630866003,1.0,0.95,0.98,MHD_v2,val
0.8392262318472669,0.8187956565136284,0.21542393320855588,0.21687137015595245,1.0,1.0,1.0,MHD_v2,test
