epoch,loss,val_AUPRC,val_AUROC
1,0.5381870230829174,0.8216519264450829,0.8594526147515585
2,0.4781143573874777,0.8148843402334397,0.8532420719186278
3,0.46708672205832874,0.8153200684218811,0.8522217141395605
4,0.4550943637097424,0.8132921958307562,0.849624330828345
5,0.44421553724642954,0.810523120079003,0.84691615991047
6,0.43595593524250115,0.8098300791144035,0.8456547542475711
7,0.4291797573819305,0.8094911521081039,0.8452169344487059
8,0.4234479979583711,0.8089521648201097,0.844854731760762
9,0.4186833430871819,0.8091247332686327,0.8449994212535045
10,0.4145972188562155,0.8090778295652895,0.8453216624504016
11,0.41112476643739326,0.8091214965396261,0.8455550042908212
