epoch,loss,val_AUPRC,val_AUROC
1,0.5651783532713475,0.9545952021605593,0.959373593113737
2,0.42173086383012814,0.9636498287214572,0.9677710665429671
3,0.3963327339361604,0.9696003873546897,0.9728030634567169
4,0.37009196341349004,0.9726566805732385,0.9750567539688233
5,0.3428024318915434,0.9736676936397355,0.9753417501544768
6,0.31414439546688416,0.973470194720491,0.9745280560724697
7,0.2838677377987157,0.9725951834627431,0.9731654427685008
8,0.2522785084482584,0.9712117665660792,0.9713272092534084
9,0.2203803860409764,0.9694072301886792,0.9690952876872634
10,0.18945514902900468,0.9671791194771128,0.9664592231987836
11,0.1605474446601096,0.9647068668330735,0.9636104726609038
12,0.13430510092692027,0.9619740041949103,0.9604978117375631
13,0.11110173431334545,0.9592943888247505,0.9575127019306414
14,0.09091995389981307,0.9567838217556986,0.9547660374072533
15,0.07368836477009807,0.9542735303583344,0.9520366845145315
