AUROC,AUPRC,Brier,ECE@10,Precision@10,Precision@20,Precision@50,model,split
0.5,0.4984158324915052,0.4984158324915052,0.4984158324915052,0.7,0.6,0.5,B1_rule_presence,val
0.5,0.5001790814499169,0.5001790814499169,0.5001790814499169,0.6,0.55,0.52,B1_rule_presence,test
0.12907791769402005,0.3237684486540926,0.4110345792139899,0.43560619817859386,0.1,0.05,0.02,B0_ppmi,val
0.13034928492756503,0.32547550712219153,0.41065855972721993,0.4320679279999407,0.0,0.0,0.0,B0_ppmi,test
0.9586127627067891,0.9571395770855957,0.08009565659263528,0.07217995327150487,1.0,1.0,1.0,B2_logreg,val
0.9580639969284157,0.9559739754817995,0.08135910941529678,0.07507129520301127,1.0,1.0,1.0,B2_logreg,test
0.9729754860752406,0.9711569346148645,0.06074366255390958,0.01563080373079433,1.0,1.0,1.0,B2_xgboost,val
0.972342462217165,0.9697456819867704,0.061032154033116494,0.016147655244011273,1.0,1.0,1.0,B2_xgboost,test
0.9753417501544768,0.9736676936397355,0.13483858640848714,0.2017578208231107,1.0,1.0,1.0,B3_distmult,val
0.9515647454600954,0.9538469658253387,0.167661808306144,0.2128340362561883,1.0,1.0,1.0,B3_distmult,test
0.9241786357618211,0.8783619687659965,0.17898600533722375,0.21156904673234106,0.8999999761581421,0.8999999761581421,0.7799999713897705,B3_rotate,val
0.9204061723906106,0.8752544468066763,0.18194947157470898,0.21711584752319102,0.9,0.85,0.8,B3_rotate,test
0.9633524407026152,0.9634892419534646,0.09619523386955119,0.10650740134070394,1.0,1.0,1.0,MHD_v2,val
0.9629921179155329,0.9628426609337232,0.09707325567781049,0.10720680538070865,1.0,1.0,1.0,MHD_v2,test
