epoch,loss,val_AUPRC,val_AUROC
1,0.7053647637367249,0.5982489944912831,0.47193239168408496
2,0.6733174920082092,0.7322734333641897,0.7517344139033838
3,0.6431564688682556,0.7705703586958044,0.77647322981948
4,0.6154924035072327,0.781879647010059,0.7818959655096669
5,0.5888091921806335,0.7873515360356379,0.7834418392856893
6,0.5644381642341614,0.7901990965651557,0.7840866021588822
7,0.5410321950912476,0.7914905331955207,0.7842402180002985
8,0.5191240310668945,0.7922164366491291,0.7843047486315368
9,0.4985850751399994,0.7922954272597647,0.7843044436401545
10,0.47959861159324646,0.7921691419185263,0.7841026835226864
11,0.4616592824459076,0.7922347445040456,0.7839929531685622
12,0.44458237290382385,0.7921848829695212,0.7836969451686049
13,0.4286138713359833,0.7920874838639892,0.7834806009177556
14,0.41389599442481995,0.7918545915586443,0.7831703803193741
15,0.4003086984157562,0.7914848663825228,0.7827487990492963
16,0.38787171244621277,0.791148707266884,0.7823481734598451
17,0.37540969252586365,0.7909405878512235,0.7820678752887353
18,0.36549702286720276,0.7906298068406323,0.781766793341233
19,0.3557741940021515,0.7903768735741039,0.7815134342271444
20,0.34733468294143677,0.7901022495093473,0.7812547627177026
21,0.3397114872932434,0.7899139200136311,0.7810927845671077
22,0.3327983319759369,0.7896709212904736,0.7809824664114099
23,0.327362984418869,0.7895941298441078,0.7809723739692984
24,0.32217419147491455,0.7895300598641805,0.7809782852568208
25,0.31743523478507996,0.7894373678090787,0.7810911209777487
26,0.31504756212234497,0.7894448232173212,0.7812200158812894
27,0.3120869994163513,0.7893389058121166,0.7813374264729549
28,0.3101367950439453,0.7893533773003618,0.7814534673760478
29,0.30915674567222595,0.789363039567522,0.7816071053986557
