epoch,train_loss,val_AUPRC,val_AUROC
1,0.12933551552422515,0.9412750134182215,0.9557306192025027
2,0.09571089227032897,0.9475011289685833,0.9600443125876589
3,0.08859084635017622,0.9510865514407807,0.9631591136127141
4,0.08434899572854553,0.9538727720937872,0.9648745748690579
5,0.0816908388216192,0.956882586049717,0.967124173886212
6,0.07974947388859016,0.9600340730551241,0.9691679741862321
7,0.07849226199166907,0.9616934338487148,0.9705102860425584
8,0.07734014793853786,0.9637042204328587,0.9719704900931813
9,0.07645570302279965,0.9643202742574011,0.9723819430969389
10,0.07571265630245606,0.9647842814340793,0.9729855413905867
11,0.07506844449849524,0.9661127380698408,0.9740934741566366
12,0.07458681170004164,0.9677093576985216,0.9754337850705717
13,0.07406117840358901,0.9671325528528467,0.9749708673646492
14,0.07373911689207037,0.9676797034072006,0.9752686556656738
15,0.07319462135731301,0.9685481878868294,0.9760529217677509
16,0.07286957012817166,0.9688824384067652,0.9763476074484083
17,0.07248345281402414,0.9694507261706989,0.9768352333138783
18,0.07216422722733568,0.9698674596017894,0.9770863073060017
19,0.07191063941155926,0.9702237019156693,0.9773585430034033
20,0.0715412306205939,0.9708947194105105,0.9778444620586881
21,0.07142897301979621,0.9714331364013052,0.9783710367211239
22,0.07118468964014232,0.9711064995953471,0.978141532424113
23,0.07099530080618296,0.9716641736609025,0.9783937650230264
24,0.07068136672322772,0.9727901501137068,0.9792527364884979
25,0.07051682724794216,0.9724090983987312,0.9791532080536907
26,0.0702057029851207,0.9729704031780574,0.9793506403436294
27,0.06999446802208868,0.9728477245292871,0.9793974421542261
28,0.06978898212290578,0.9722688989831255,0.978922823468536
29,0.06965884064727103,0.9733246728123909,0.9797755675542894
30,0.06959869323482572,0.9734180199491201,0.9798502940024294
31,0.06923996160719166,0.9732877378026046,0.9796685487634815
32,0.06914948934609445,0.9735419588490153,0.9798898911553334
33,0.06897401381003222,0.972912870851584,0.9795314947520606
34,0.06876279684220972,0.9725819308137718,0.9791670902504276
35,0.06866419037215526,0.9734165829460998,0.9799442602812537
36,0.06834524231927566,0.9738717894241864,0.9801839864631039
37,0.06829059863609353,0.9740692599930112,0.9803753178818003
38,0.06813501149287332,0.973737842600818,0.9800138778954487
39,0.06810945894505495,0.9741652298371808,0.9804484102621288
40,0.06792272419418156,0.9736727255401261,0.9801730645646989
41,0.06785535692322879,0.9742854202592157,0.9805925930261574
42,0.06767312543009438,0.9736653834586728,0.9800717228417398
43,0.06753123443274481,0.974328950755811,0.9806159296229808
44,0.06742261891779168,0.9739020193090109,0.980376651491982
45,0.06731391010722777,0.9741969448285998,0.9806131116466837
46,0.06721592019898026,0.9746911026338582,0.9809290960834678
47,0.06705071714628313,0.9741256158900258,0.9804780975844338
48,0.06701030538683159,0.9746364292412173,0.9810714276068014
49,0.06684730500322485,0.9753167399605467,0.9813543764636226
50,0.06673846239205787,0.9753226112256236,0.981422720559162
