epoch,loss,val_AUPRC,val_AUROC
1,0.6764301655766292,0.48794098283951565,0.47924807563562144
2,0.5344470995358932,0.49635491319344205,0.48574960500673137
3,0.4697566364820187,0.49870710913620325,0.4890729908997369
4,0.4352197392055622,0.49996656513927373,0.49105326354573897
5,0.41193065037712073,0.5005495177012478,0.4923856043151147
6,0.39305956594837016,0.5006466218751782,0.49328568464361416
7,0.37573287750665957,0.500346385845815,0.49386020321884694
8,0.35893216929756677,0.49976159941517484,0.4943792820005105
9,0.3416968751221131,0.49888646780959567,0.49468438786713614
10,0.32430472559271717,0.4978576220834358,0.49494056412882187
11,0.3067583611760384,0.4966931452047373,0.4950000113848364
12,0.2888071857965909,0.49558590360556076,0.4950943485623204
13,0.271911071613431,0.49445009685518665,0.49511301484955705
14,0.25456630944823605,0.49344514963660746,0.4951663695224342
15,0.23731883925696215,0.4924106718023277,0.4951718700940741
16,0.22099940789242586,0.4914778132838985,0.49525277122665223
