epoch,loss,val_AUPRC,val_AUROC
1,0.6151224412979224,0.7035865926435086,0.7570657885130488
2,0.5630811282839531,0.6933534942872812,0.7452201965449105
3,0.553141234203791,0.6903372410296083,0.739281402685494
4,0.5415828006389813,0.6879381946772258,0.7370566641721763
5,0.5289117844823079,0.6878385939565383,0.7362207991661067
6,0.519423268066767,0.6895591209078771,0.7356338212196007
7,0.5122779858035919,0.6906552386294458,0.7358038525414661
8,0.5058376290477239,0.6903117199781678,0.7361847678542214
9,0.5001609496390208,0.6911865551222556,0.736649088963583
10,0.49464635006510294,0.6933172880201159,0.7371202962034089
11,0.4897450217260764,0.6946893704242825,0.7378673100698007
