AUROC,AUPRC,Brier,ECE@10,Precision@10,Precision@20,Precision@50,model,split
0.5,0.47285714285714286,0.47285714285714286,0.47285714285714286,1.0,1.0,1.0,B1_rule_presence,val
0.5,0.502031290517763,0.502031290517763,0.502031290517763,1.0,1.0,1.0,B1_rule_presence,test
0.2591275058570139,0.3541659175822602,0.42442955451623027,0.37638037193028884,0.3,0.5,0.56,B0_ppmi,val
0.3233392638672311,0.425083108912544,0.4519388714132036,0.3237234233165714,0.9,0.75,0.56,B0_ppmi,test
0.7404089578606506,0.7058905284220445,0.32719789371653396,0.3239481315452614,1.0,0.95,0.9,B2_logreg,val
0.6766733102932085,0.7003229517986886,0.3612033573800184,0.36580137357313297,1.0,0.95,0.82,B2_logreg,test
0.5797300369435522,0.5568137773654744,0.4093912850351738,0.4006195370738101,1.0,0.85,0.9,B2_xgboost,val
0.5622231810817777,0.5719600177895412,0.4344670699486869,0.42987606854139343,1.0,1.0,0.96,B2_xgboost,test
0.49328568464361416,0.5006466218751782,0.25049586718477573,0.027164967124278724,0.8999999761581421,0.8500000238418579,0.7599999904632568,B3_distmult,val
0.4916456364109766,0.5158019583171609,0.2511618365048039,0.02417140897765609,0.5,0.7,0.74,B3_distmult,test
0.7570657885130488,0.7035865926435086,0.2271974469472502,0.14927274550153657,1.0,0.949999988079071,0.8799999952316284,B3_rotate,val
0.7047170142948477,0.6996763085763588,0.2676461674230453,0.22074694752275215,0.8,0.9,0.92,B3_rotate,test
0.7601898070250835,0.7123783146071404,0.25199947854646876,0.20835103058389254,0.9,0.95,0.92,MHD_v2,val
0.7357883757710129,0.7216120111862447,0.27177533087246303,0.23224932512015492,0.8,0.9,0.84,MHD_v2,test
