epoch,loss,val_AUPRC,val_AUROC
1,0.6652621934288426,0.719691337890735,0.7521773406696051
2,0.5883838176727295,0.7167701302022853,0.7483258268219289
3,0.567506952662217,0.7103756057899502,0.7427424050256266
4,0.5600921053635447,0.7074888172706237,0.7384684820778188
5,0.5543099434752213,0.7104817455729266,0.7370093161770142
6,0.5482842592816604,0.705371858476214,0.7352335146639468
7,0.5432224305052507,0.7030041049539253,0.7338854298489287
8,0.5363899958761115,0.7039430236547537,0.7331230911796301
9,0.5302167522279839,0.7010015832079577,0.7317708972565469
10,0.5239076874758067,0.7045675362355064,0.7314938658766221
11,0.5181113036055314,0.7075758903130114,0.7313440186002741
