epoch,loss,val_AUPRC,val_AUROC
1,0.6926006831620869,0.5130623297818184,0.505979464119683
2,0.6768022499586407,0.5394141677781844,0.5133622066660042
3,0.6132517438185843,0.5587182274411931,0.515345644293186
4,0.5219266358174776,0.5600264110000919,0.5153804545661148
5,0.4654159737260718,0.5566761943360219,0.5146816178365856
6,0.43030665830561987,0.5526807650256418,0.5137298006249953
7,0.40324235997701946,0.5496239203707302,0.5129746438836088
8,0.37988238522880957,0.5467567079143407,0.5122502513854994
9,0.3577834399122941,0.5444223850408731,0.5117094711372465
10,0.3368338716657538,0.5425519200237643,0.5113984044477562
11,0.31831155513462267,0.5407663155420792,0.511033883308612
12,0.29912434659506143,0.5392404292137001,0.5108093241573346
13,0.2809555996405451,0.5379287795317986,0.5106856814561035
14,0.26492207552257335,0.5366789994788546,0.5104216532405165
