AUROC,AUPRC,Brier,ECE@10,Precision@10,Precision@20,Precision@50,model,split
0.5,0.5213333649558866,0.5213333649558866,0.5213333649558866,1.0,1.0,1.0,B1_rule_presence,val
0.5,0.4938668405689088,0.4938668405689088,0.4938668405689088,1.0,1.0,1.0,B1_rule_presence,test
0.25597332068415957,0.40123560876227904,0.43874026817883316,0.39744855618472463,0.7,0.8,0.78,B0_ppmi,val
0.3373988594628531,0.4272448101587487,0.4385405488792787,0.31328128345807155,0.6,0.6,0.48,B0_ppmi,test
0.741995527476698,0.7480104844847775,0.39468400018222954,0.3955526076286891,1.0,1.0,0.98,B2_logreg,val
0.661301947338149,0.6794624630762325,0.38132975172283684,0.37430584468769146,1.0,0.95,0.98,B2_logreg,test
0.5733991359957464,0.6046253560673123,0.44690807682228484,0.44451099099291297,1.0,0.9,0.96,B2_xgboost,val
0.5460987895589114,0.5605435159170172,0.42380059991223684,0.41717473645170483,0.9,0.95,0.96,B2_xgboost,test
0.5200304556634832,0.579277591793651,0.24978531371509818,0.02104314674565263,1.0,1.0,0.7400000095367432,B3_distmult,val
0.49626181176405687,0.5096088531519715,0.25030337593974494,0.014455781703883461,1.0,1.0,0.94,B3_distmult,test
0.7519204739634171,0.7363702509385635,0.24279747457359205,0.18683672587395833,0.800000011920929,0.8500000238418579,0.800000011920929,B3_rotate,val
0.7009259480351714,0.6827797775227604,0.26818057102519,0.21857644895402187,1.0,1.0,0.9,B3_rotate,test
0.7146626122905585,0.6822442652667818,0.50332456549983,0.5061342179189222,0.4,0.45,0.62,MHD_hybrid,val
0.6601165817185164,0.6295650124612889,0.4788792122506441,0.4804066222233937,0.6,0.65,0.64,MHD_hybrid,test
