epoch,loss,val_AUPRC,val_AUROC
1,0.6031033529175652,0.7383170578380883,0.7537866133691106
2,0.5601515976633605,0.7299193966235372,0.7446259233188899
3,0.5499674604770324,0.7307711551974622,0.7425165735116541
4,0.5368056426902383,0.7289696269678927,0.7411105289053277
5,0.524231482397094,0.73008142665743,0.7408154002321028
6,0.5140463719536975,0.7326774002705375,0.7407174128454128
7,0.5054939394938078,0.7315851181988119,0.7405365151559972
8,0.49811671314568357,0.7322076133539641,0.7404522045868759
9,0.4915374857712523,0.7330609479392399,0.7405068141313982
10,0.485554198081466,0.733139163425569,0.740799287029863
11,0.4802103751692279,0.734142902139314,0.7412122932374371
