epoch,loss,val_AUPRC,val_AUROC
1,0.5891765965812508,0.5579951778303611,0.47323019540335093
2,0.42723427615859955,0.5549935446401564,0.4747026619784584
3,0.4040095057638212,0.5525215393801515,0.47722622224489863
4,0.3821430390136909,0.5498311293989404,0.4788728431509008
5,0.35961047893968123,0.5469977093151397,0.479900843148668
6,0.336434503681815,0.5444064954510344,0.4807636790214673
7,0.31232767526445715,0.5421140094476643,0.48155933871924944
8,0.28707159636006957,0.540159431568169,0.4823739149683658
9,0.26081874535572486,0.5383110605371733,0.4831335746958137
10,0.2343094500773711,0.5366850519785793,0.48385283144310787
11,0.2081293558480639,0.5351938410769926,0.4844386252292002
