epoch,loss,sup_loss,cf_loss,val_AUPRC,val_AUROC,gate
1,0.1525350055035743,0.13526402621193265,0.03449417406429891,0.8674832312676078,0.8722662338063907,0.502774643781902
2,0.13511423894045518,0.11043802919721746,0.04867145027562222,0.9279488573831819,0.9262466308078252,0.4980628428221489
3,0.11943302877272631,0.08877876016112635,0.05971532983482438,0.9513777075347187,0.9543718538646704,0.49372025537887765
4,0.10826608301340022,0.07388257123867376,0.06690584471170621,0.9621879006638572,0.966813072676591,0.49457716244392996
5,0.099124625006175,0.06231270099085276,0.07179109588262264,0.9686592354545926,0.9736036786708079,0.4962504717306311
6,0.09134962532438365,0.05285170824127468,0.07521673369045219,0.9732818764504099,0.9776426905280319,0.4966878916998498
7,0.08429455093104936,0.044422810032154106,0.07790212442369408,0.9766599598323296,0.9801655942392071,0.49588215171650807
8,0.07829748559794246,0.03734180830709886,0.07997747369717716,0.9782113214827695,0.9813320340125712,0.49569090344164884
9,0.07394074050809567,0.03203749660865854,0.08178947789396276,0.9781569793625727,0.9810982832477246,0.4947672696484683
10,0.07036666093951195,0.027821875268853095,0.0830653523669447,0.9780979239513451,0.9810137745316988,0.494477790765937
11,0.06791148143273511,0.0250613278842392,0.08366359161255896,0.9786760973644859,0.9816491348866534,0.49402942004052824
12,0.0667228494000917,0.02354459543303448,0.08433143966914314,0.9784449957084348,0.9815532351366251,0.49471818361681896
13,0.06480983257996836,0.021599273216200435,0.084476679616228,0.978244661163622,0.9816426428933737,0.49437759347214594
14,0.06343418033766365,0.020183623859500354,0.08466941585264189,0.9786835256691276,0.9818413708409514,0.4948428477876086
15,0.06268888946847735,0.019446559869641503,0.08471585054659414,0.978412109066446,0.9813716111349664,0.4953284710296332
16,0.062194717275671337,0.01900045265896,0.08467372561708436,0.9783505362720563,0.9815731950113837,0.4953509220183266
17,0.06179882572258585,0.01866833885445658,0.08459988818586299,0.9734188642595772,0.9805977556262047,0.49587836976555505
18,0.06151243629036334,0.018405985051309606,0.08462362135094455,0.9766735304009257,0.9812750145340845,0.4956195870526283
19,0.06142664771730966,0.018404505304757676,0.08447947114392504,0.977581879010325,0.9813083779818466,0.4958277724794151
